N,Mean_π,Variance,Std_Dev,Error,Relative_Error(%)
20,3.142,0.12663599999999997,0.3558595228457431,0.0004073464102067881,0.012966238947029841
50,3.1872000000000003,0.04860415999999999,0.2204635117201937,0.04560734641020714,1.4517269244977749
100,3.1616000000000004,0.024317439999999992,0.1559405014741199,0.020007346410207294,0.6368536158672756
200,3.1510000000000002,0.013882999999999996,0.11782614310924379,0.00940734641020713,0.2994451365124523
300,3.1476000000000006,0.00874401777777778,0.0935094528792559,0.006007346410207504,0.1912197752099754
500,3.13176,0.0049081024000000055,0.07005785038095307,0.009832653589793239,0.31298308450517265
1000,3.15164,0.0024224304000000025,0.04921819175873899,0.010047346410206881,0.319816969228207
5000,3.143736,0.0005581575039999985,0.023625357224812463,0.00214334641020697,0.0682248351885417
